Name,Tags,Must Read,Date
Cómo utilizar el proceso de gestión de productos de trabajo del departamento si no he usado Notion,"Documentación, TODO",No,
Como utilizar PRs en GitHub para que mi código sea integrado en el producto,"Configuración, Desarrollo, TODO",No,
Como desarrollar una interfaz REST dirigida a casos de uso en comparación a recursos,"Backend, Desarrollo, TODO",No,
Como mover un archivo de Drive a nuestra wiki en Notion,Documentación,No,
TICKETS EP0: Como reescribir código para reducir nesting y complejidad,"Calidad, Desarrollo, Tickets",Yes,
"TICKETS EP2: Catch, o porque “console.log” no es error handling apropiado","Calidad, Desarrollo, Tickets",Yes,
TICKETS EP1: Como utilizar enums para reducir valores hard-codeados,"Calidad, Desarrollo, Tickets",Yes,
Glosario,Documentación,No,
Guía de contribución para repositorio de RAM,"Configuración, Desarrollo, RAM, TODO",Yes,
TICKETS EP3: Ejemplo de varias técnicas,"Calidad, Desarrollo, Tickets",Yes,
TICKETS EP4: Como utilizar Promise.all para optimizar queries,"Calidad, Desarrollo, Tickets",Yes,